datetime, tempC, presPa, humRH
2022/08/26 03:55:01, 9.750000, 101747.855469, 88.845703
2022/08/26 04:00:02, 9.740000, 101748.414062, 88.842773
2022/08/26 04:05:01, 9.720000, 101743.257812, 88.871094
2022/08/26 04:10:01, 9.670000, 101744.667969, 88.970703
2022/08/26 04:15:02, 9.640000, 101747.906250, 88.973633
2022/08/26 04:20:01, 9.610000, 101753.500000, 88.935547
2022/08/26 04:25:01, 9.590000, 101763.496094, 88.878906
2022/08/26 04:30:01, 9.570000, 101767.726562, 89.014648
2022/08/26 04:35:01, 9.560000, 101775.191406, 88.969727
2022/08/26 04:40:02, 9.550000, 101781.730469, 88.980469
2022/08/26 04:45:01, 9.550000, 101785.597656, 88.848633
2022/08/26 04:50:01, 9.550000, 101792.187500, 88.935547
2022/08/26 04:55:02, 9.550000, 101794.523438, 88.957031
2022/08/26 05:00:01, 9.540000, 101794.132812, 88.987305
2022/08/26 05:05:01, 9.530000, 101795.300781, 89.083984
2022/08/26 05:10:02, 9.530000, 101794.519531, 89.050781
2022/08/26 05:15:01, 9.530000, 101792.769531, 88.985352
2022/08/26 05:20:02, 9.510000, 101797.246094, 89.014648
2022/08/26 05:25:01, 9.500000, 101798.699219, 89.067383
2022/08/26 05:30:01, 9.490000, 101804.195312, 89.031250
2022/08/26 05:35:02, 9.460000, 101806.937500, 89.036133
2022/08/26 05:40:01, 9.430000, 101811.406250, 88.923828
2022/08/26 05:45:01, 9.380000, 101816.710938, 88.792969
2022/08/26 05:50:02, 9.330000, 101820.058594, 88.716797
2022/08/26 05:55:01, 9.280000, 101824.347656, 88.750000
2022/08/26 06:00:01, 9.240000, 101826.113281, 88.981445
2022/08/26 06:05:01, 9.220000, 101829.605469, 88.987305
2022/08/26 06:10:01, 9.190000, 101835.136719, 88.959961
2022/08/26 06:15:02, 9.160000, 101842.468750, 88.943359
2022/08/26 06:20:01, 9.140000, 101846.523438, 88.926758
2022/08/26 06:25:01, 9.110000, 101848.648438, 88.997070
2022/08/26 06:30:01, 9.050000, 101844.933594, 89.116211
2022/08/26 06:35:01, 8.980000, 101847.234375, 89.057617
2022/08/26 06:40:01, 8.890000, 101854.097656, 88.941406
2022/08/26 06:45:01, 8.790000, 101855.847656, 88.768555
2022/08/26 06:50:02, 8.690000, 101863.105469, 88.684570
2022/08/26 06:55:01, 8.600000, 101869.605469, 88.525391
2022/08/26 07:00:01, 8.500000, 101876.800781, 88.428711
2022/08/26 07:05:02, 8.400000, 101881.152344, 88.312500
2022/08/26 07:10:01, 8.290000, 101887.843750, 88.417969
2022/08/26 07:15:01, 8.190000, 101899.386719, 88.495117
2022/08/26 07:20:01, 8.110000, 101905.535156, 88.468750
2022/08/26 07:25:01, 8.050000, 101914.800781, 88.642578
2022/08/26 07:30:01, 7.990000, 101925.707031, 88.954102
2022/08/26 07:35:01, 7.950000, 101930.175781, 89.214844
2022/08/26 07:40:01, 7.910000, 101933.949219, 89.466797
2022/08/26 07:45:02, 7.880000, 101935.324219, 89.547852
2022/08/26 07:50:01, 7.850000, 101941.621094, 89.671875
2022/08/26 07:55:01, 7.830000, 101947.207031, 89.785156
2022/08/26 08:00:02, 7.830000, 101949.601562, 90.066406
2022/08/26 08:05:01, 7.840000, 101949.464844, 90.285156
2022/08/26 08:10:01, 7.870000, 101953.796875, 90.627930
2022/08/26 08:15:01, 7.920000, 101955.593750, 90.844727
2022/08/26 08:20:01, 8.010000, 101957.136719, 91.110352
2022/08/26 08:25:02, 8.140000, 101957.707031, 91.365234
2022/08/26 08:30:01, 8.310000, 101958.074219, 91.486328
2022/08/26 08:35:01, 8.580000, 101954.921875, 90.894531
2022/08/26 08:40:02, 9.060000, 101949.160156, 89.876953
2022/08/26 08:45:01, 9.550000, 101946.464844, 89.163086
2022/08/26 08:50:01, 10.120000, 101942.699219, 87.928711
2022/08/26 08:55:01, 10.820000, 101936.136719, 84.964844
2022/08/26 09:00:01, 11.590000, 101930.675781, 79.469727
2022/08/26 09:05:01, 12.120000, 101925.480469, 73.291016
2022/08/26 09:10:01, 12.470000, 101917.503906, 74.096680
2022/08/26 09:15:01, 12.760000, 101918.054688, 75.727539
2022/08/26 09:20:02, 12.890000, 101918.230469, 74.345703
2022/08/26 09:25:01, 12.940000, 101918.546875, 70.644531
2022/08/26 09:30:01, 12.920000, 101920.015625, 70.068359
2022/08/26 09:35:01, 12.880000, 101924.796875, 70.611328
2022/08/26 09:40:01, 12.860000, 101926.898438, 69.288086
2022/08/26 09:45:01, 12.800000, 101928.273438, 69.048828
2022/08/26 09:50:01, 12.770000, 101933.472656, 70.362305
2022/08/26 09:55:01, 12.730000, 101936.101562, 69.960938
2022/08/26 10:00:02, 12.690000, 101932.839844, 70.394531
2022/08/26 10:05:01, 12.660000, 101931.207031, 70.313477
2022/08/26 10:10:01, 12.650000, 101929.902344, 71.245117
2022/08/26 10:15:02, 12.620000, 101930.539062, 70.779297
2022/08/26 10:20:01, 12.590000, 101927.753906, 70.004883
2022/08/26 10:25:01, 12.580000, 101923.121094, 71.344727
2022/08/26 10:30:01, 12.580000, 101920.117188, 70.431641
2022/08/26 10:35:01, 12.580000, 101915.980469, 69.949219
2022/08/26 10:40:02, 12.680000, 101914.593750, 69.997070
2022/08/26 10:45:01, 12.780000, 101913.855469, 69.958008
2022/08/26 10:50:01, 12.890000, 101913.125000, 69.183594
2022/08/26 10:55:02, 13.020000, 101911.097656, 69.049805
2022/08/26 11:00:01, 13.200000, 101908.781250, 69.231445
2022/08/26 11:05:01, 13.470000, 101903.992188, 68.379883
2022/08/26 11:10:02, 13.720000, 101898.343750, 65.670898
2022/08/26 11:15:01, 13.930000, 101891.167969, 65.139648
2022/08/26 11:20:02, 14.140000, 101889.359375, 63.025391
2022/08/26 11:25:01, 14.360000, 101878.363281, 62.479492
2022/08/26 11:30:01, 14.540000, 101871.468750, 61.774414
2022/08/26 11:35:02, 14.750000, 101866.511719, 63.245117
2022/08/26 11:40:01, 14.820000, 101861.539062, 61.370117
2022/08/26 11:45:01, 14.850000, 101858.468750, 62.061523
2022/08/26 11:50:02, 14.810000, 101855.093750, 61.868164
2022/08/26 11:55:01, 14.770000, 101854.804688, 61.385742
2022/08/26 12:00:01, 14.720000, 101851.687500, 60.991211
2022/08/26 12:05:01, 14.690000, 101847.675781, 61.164062
2022/08/26 12:10:01, 14.710000, 101843.140625, 61.842773
2022/08/26 12:15:01, 14.790000, 101836.839844, 62.164062
2022/08/26 12:20:01, 14.870000, 101830.746094, 61.875977
2022/08/26 12:25:01, 14.940000, 101825.074219, 61.830078
2022/08/26 12:30:02, 14.980000, 101816.941406, 61.259766
2022/08/26 12:35:01, 15.030000, 101811.640625, 62.397461
2022/08/26 12:40:01, 15.060000, 101805.820312, 62.414062
2022/08/26 12:45:01, 15.120000, 101797.335938, 61.344727
2022/08/26 12:50:01, 15.150000, 101787.175781, 61.626953
2022/08/26 12:55:01, 15.180000, 101784.437500, 62.230469
2022/08/26 13:00:01, 15.180000, 101779.156250, 61.621094
2022/08/26 13:05:01, 15.180000, 101772.410156, 62.286133
2022/08/26 13:10:02, 15.150000, 101767.335938, 62.835938
2022/08/26 13:15:01, 15.120000, 101761.871094, 63.098633
2022/08/26 13:20:01, 15.070000, 101758.160156, 60.894531
2022/08/26 13:25:02, 15.060000, 101755.964844, 62.713867
2022/08/26 13:30:01, 15.030000, 101751.105469, 63.107422
2022/08/26 13:35:01, 15.000000, 101744.480469, 63.090820
2022/08/26 13:40:01, 15.000000, 101739.671875, 62.048828
2022/08/26 13:45:01, 15.100000, 101734.382812, 62.041992
2022/08/26 13:50:02, 15.200000, 101728.875000, 60.492188
2022/08/26 13:55:01, 15.300000, 101722.753906, 60.693359
2022/08/26 14:00:01, 15.410000, 101716.921875, 61.375000
